Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
Korrak Korrak 8,73347,Murray,739041.273800402,6048769.0464189,67,12,POOR,157,Taylor & Mather 2015,,,,
Kotupna 6,73402,Murray,868185.916719226,5995387.2499375,58,8,POOR,176,Taylor & Mather 2015,,,,
La Trobe 15002,75069,Otway,694119.347922215,5720426.49271503,44,15,POOR,145,Taylor & Mather 2015,,,,
Lancefield,,Bedrock,835262.926804684,5883369.05332858,77,8,POOR,160,Taylor & Mather 2015,,,,
Lang Lang 193,74309,Gippsland,894975.187697081,5749461.07407265,83,18,POOR,115,Taylor & Mather 2015,,,,
Leishman 2,,Bedrock,753310.371976983,5873009.55194623,93,9,GOOD,311,Taylor & Mather 2015,,,,
Leongatha 24,75404,Gippsland,922994.827295709,5726990.75849325,54,10,POOR,73,Taylor & Mather 2015,,,,
Lillimur 15004,75669,Murray,506728.002645242,5967238.04516318,56,8,POOR,145,Taylor & Mather 2015,,,,
Limestone 1,,Bedrock,778632.342770641,5876204.03316264,89,14,POOR,310,Taylor & Mather 2015,,,,
Liparoo 2,75795,Murray,644971.058957659,6149078.56475011,80,7,POOR,195,Taylor & Mather 2015,,,,
Loy Yang 1675,374749,Gippsland,993469.830218353,5759328.62012547,61,7,POOR,629,Taylor & Mather 2015,,,,
Loy Yang 20002,353595,Gippsland,986647.880214068,5751568.87868018,80,8,POOR,713,Taylor & Mather 2015,,,,
Loy Yang 2390,374946,Gippsland,994763.686928595,5759531.73456062,78,12,POOR,696,Taylor & Mather 2015,,,,
Malanganee 4,76977,Otway,499014.79682232,5809773.50141111,61,5,GOOD,317,Taylor & Mather 2015,,,,
Mallanbool 1,77030,Murray,552069.994641842,6186122.02888564,77,4,MODERATE,433,Taylor & Mather 2015,,,,
Manangatang 3,77115,Murray,663921.49065779,6119379.38988062,71,14,POOR,318,Taylor & Mather 2015,,,,
Mandalay Res. AD006  ,Costerfield,Bedrock,838487.398582705,5910127.59721382,84,5,GOOD,283,Taylor & Mather 2015,,,,
Mandalay Res. MB011, Costerfield,Bedrock,838078.945377579,5911911.22118457,99,3,GOOD,310,Taylor & Mather 2015,,,,
Marong 1,,Bedrock,773072.031920345,5925055.42679977,78,7,GOOD,310,Taylor & Mather 2015,,,,
Maryvale 2390,77436,Gippsland,977682.208908219,5757402.04935772,68,6,POOR,143,Taylor & Mather 2015,,,,
Meerlieu 15001,77945,Gippsland,1052056.51783114,5774806.45928398,61,3,GOOD,713,Taylor & Mather 2015,,,,
Megascolides 1,,Gippsland,927406.731972312,5757256.176541,75,19,POOR,2000,Taylor & Mather 2015,,,,
Mildura 520,79278,Murray,600577.030716633,6217725.00384953,116,10,MODERATE,379,Taylor & Mather 2015,,,,
Moolort 3,,Bedrock,760597.275523289,5889492.03590579,100,11,GOOD,303,Taylor & Mather 2015,,,,
Moortworra X,110162,Murray,677997.980848468,6086461.06831262,68,20,POOR,239,Taylor & Mather 2015,,,,
Mortat X,8003887,Murray,539456.991269568,5936487.05400448,62,7,MODERATE,192,Taylor & Mather 2015,,,,
Mortlake 20001,112826,Otway,659318.858162795,5781340.77841332,73,12,POOR,185,Taylor & Mather 2015,,,,
Mouzie 1,81998,Otway,539566.648595561,5768091.77878158,67,12,POOR,271,Taylor & Mather 2015,,,,
Mundoona 9,82513,Murray,891589.740423459,5993198.90177023,70,11,POOR,159,Taylor & Mather 2015,,,,
