Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites
44.0162,-111.4935,1465,120,182,,29,,1.46,,,42,
59.1167,-144.3333,-4000,,2,2,56,,1.13,,,63,1
44.0465,-111.6893,1573,20,100,,29,,1.46,,,42,
44.0465,-111.6893,1573,105,114,,21,,1.46,,,31,
59.15,-143.65,-3920,,2,2,74,,0.96,,,71,1
44,-111.7375,1513,20,50,,45,,1.46,,,66,
44,-111.7375,1513,50,114,,21,,1.46,,,31,
59.2333,-142.8333,-2670,,2,2,62,,0.88,,,54,1
43.9228,-112.7452,1504,20,110,,-10,,1.46,,,-15,
58.1833,-139.5167,-2910,,2,2,68,,0.92,,,63,1
43.9045,-112.7678,1493,20,105,,-9,,1.46,,,-13,
57.7,-140.1333,-3310,,2,2,72,,0.75,,,54,1
43.9405,-112.2783,1460,15,80,,28,,1.46,,,41,
43.9405,-112.2783,1460,80,225,,-1,,1.46,,,0,
56.9667,-139.2,-3340,,2,2,92,,1,,,92,1
43.936,-112.3465,1497,35,81,,5,,1.46,,,6,
54.45,-134.6833,-2560,,2,2,186,,0.92,,,172,1
43.9183,-111.942,1479,70,190,,2,,1.46,,,2,
54.2167,-135.45,-2900,,2,2,135,,0.84,,,113,1
43.8868,-112.3568,1472,30,70,,17,,1.46,,,24,
54.1167,-135.85,-2740,,2,2,122,,0.75,,,92,1
53.1167,-133.45,-2900,,2,2,94,,0.71,,,67,1
53.25,-133.5,-2910,,2,2,61,,0.75,,,46,1
43.914,-111.7708,1484,45,120,,-7,,1.46,,,-10,
43.8238,-112.745,1460,70,105,,100,,1.46,,,146,
50.0667,-132.4167,-3100,,2,2,30,,0.96,,,29,1
43.8238,-112.745,1460,105,260,,12,,1.46,,,17,
48.3167,-131.6333,-3050,,2,2,52,,0.96,,,50,1
43.87,-112.6595,1460,65,80,,15,,1.46,,,21,
46.25,-131.9833,-3290,,2,2,36,,0.92,,,34,1
43.8187,-112.6678,1459,65,220,,2,,1.46,,,3,
43.85,-130.9167,-3320,,2,2,145,,0.92,,,134,1
43.817,-112.667,1459,20,70,,41,,1.46,,,60,
43.817,-112.667,1459,70,100,,0,,1.46,,,0,
43.8137,-112.5383,1458,20,70,,90,,1.46,,,132,
42.3167,-130.65,-3430,,2,2,24,,0.88,,,21,1
43.8137,-112.5383,1458,70,90,,1,,1.46,,,2,
40.6,-130.4333,-3760,,2,2,5,,0.84,,,4,1
43.8697,-112.1802,1468,105,215,,-22,,1.46,,,-31,
40.5833,-129.3667,-3240,,2,2,171,,0.88,,,151,1
43.8278,-112.1947,1488,20,40,,7,,1.38,,,9,
1.3206,101.215,,,610,,78,,1.84,,,144,
38.5833,-127.75,-4630,,2,2,30,,0.84,,,25,1
43.8218,-112.1198,1480,110,160,,1,,1.46,,,1,
43.8218,-112.1198,1480,30,110,,-21,,1.46,,,-31,
36.3167,-125.9333,-4620,,2,2,111,,0.75,,,84,1
43.8218,-111.9257,1474,50,160,,21,,1.46,,,30,
23.3333,-70.0417,-5480,,,2,54,,0.88,,,47,1
43.8233,-112.0273,1485,135,177,,8,,1.46,,,11,
43.8233,-112.0273,1485,30,135,,-14,,1.46,,,-21,
43.8692,-111.856,1473,80,178,,45,,1.46,,,66,
23.4667,-72.3083,-5300,,,2,66,,0.74,,,49,1
43.8692,-111.856,1473,40,80,,-4,,1.46,,,-6,
43.8197,-111.886,1470,20,75,,31,,1.51,,,47,
25.225,-73.2667,-5310,,,2,53,,0.85,,,45,1
26.9833,-72.2167,-5150,,,2,58,,0.78,,,46,1
43.8208,-111.9015,1468,85,132,,19,,1.46,,,27,
43.8208,-111.9015,1468,10,85,,-19,,1.46,,,-28,
43.87,-111.7557,1489,426,688,,44,6,1.79,,,79,
25.3,-69.0167,-5580,,,2,55,,0.88,,,49,1
23.6167,-67.9,-5650,,,2,53,,0.84,,,44,1
43.7978,-112.955,1464,40,170,,0,,1.46,,,0,
43.7417,-112.9663,1463,20,85,,98,,1.46,,,143,
21.7833,-68.85,-5560,,,2,61,,0.88,,,53,1
20.3667,-67.3833,-5410,,,2,87,,0.84,,,74,1
43.7917,-112.8935,1461,15,155,,34,,1.46,,,49,
43.7917,-112.8935,1461,155,335,,0,,1.46,,,0,
21.9,-66.6167,-5640,,,2,61,,0.81,,,50,1
43.7578,-112.7267,1496,85,102,,1,,1.46,,,2,
43.7262,-112.7753,1461,30,90,,78,,1.46,,,113,
23.6667,-65.6167,-5800,,,2,59,,0.8,,,47,1
43.7262,-112.7753,1461,90,125,,6,,1.46,,,7,
43.766,-112.689,1459,408,790,,60,,1.84,,,110,
43.766,-112.689,1459,10,95,,75,1,1.46,,,109,
25.4833,-64.5667,-5680,,,2,57,,0.8,,,46,1
43.766,-112.689,1459,95,408,,16,6,1.33,,,21,
43.7737,-112.5722,1453,20,80,,76,,1.46,,,111,
25.4417,-66.6667,-5580,,,2,64,,0.8,,,51,1
43.768,-112.5325,1458,20,85,,44,,1.46,,,64,
43.768,-112.5325,1458,160,216,,28,,1.84,,,51,
27.0833,-67.9333,-5200,,,2,57,,0.79,,,45,1
43.768,-112.5325,1458,85,160,,13,,1.34,,,17,
43.758,-112.608,1455,20,73,,101,,1.38,,,140,
28.7333,-69.0833,-5330,,,2,58,,0.86,,,49,1
28.85,-66.8333,-5240,,,2,62,,0.81,,,50,1
43.7455,-112.5392,1468,80,120,,23,,1.34,,,30,
28.9,-64.65,-4900,,,2,61,,0.75,,,47,1
43.7823,-112.4725,1461,20,85,,20,,1.46,,,8,
43.7823,-112.4725,1461,85,128,,0,,1.34,,,0,
30.45,-67.9667,-5230,,,2,55,,0.8,,,44,1
43.7353,-112.4808,1486,20,100,,22,,1.46,,,32,
32.0333,-74.15,-4870,,,2,40,,0.86,,,34,1
43.7967,-112.1933,1451,120,230,,8,,1.34,,,10,
43.7967,-112.1933,1451,5,115,,1,,1.46,,,0,
30.9333,-74.6,-3430,,,2,47,,0.83,,,39,1
43.7558,-112.217,1452,100,180,,17,,1.34,,,23,
43.7558,-112.217,1452,5,95,,6,,1.46,,,9,
29.1667,-76.3667,-4990,,,2,46,,1.05,,,49,1
43.748,-112.1108,1454,70,145,,2,,1.34,,,2,
43.748,-112.1108,1454,25,70,,-8,,1.46,,,-11,
43.7628,-111.9175,1470,40,80,,-2,,1.46,,,-3,
43.7783,-111.786,1556,85,100,,-2,,1.34,,,-2,
43.7712,-111.7705,1580,50,145,,47,1,1.8,,,85,
43.6678,-113.367,1643,120,175,,5,1,1.42,,,7,
43.6822,-113.0033,1488,20,120,,50,1,1.46,,,72,
43.6822,-113.0033,1488,120,130,,1,,1.34,,,1,
43.6745,-112.9658,1487,120,257,,2,1,1.38,,,2,
43.7097,-112.9213,1467,100,160,,1,,1.34,,,11,
43.69,-112.9187,1469,20,120,,25,1,1.51,,,37,
43.69,-112.9187,1469,120,215,,0,1,1.3,,,0,
43.6605,-112.8667,1473,100,150,,58,,1.34,,,43,
43.6605,-112.8667,1473,30,100,,24,1,1.42,,,34,
43.6412,-112.8522,1337,20,120,,22,1,1.46,,,32,
43.6753,-112.7575,1493,130,177,,23,1,1.38,,,31,
43.6753,-112.7575,1493,25,115,,1,1,1.51,,,1,
43.6838,-112.302,1505,5,45,,36,,1.38,,,49,
43.6838,-112.302,1505,130,230,,8,,1.38,,,10,
43.6295,-112.1655,1810,45,60,,3,,1.34,,,4,
43.698,-111.9423,1472,88,230,,16,,1.42,,,22,
43.698,-111.9423,1472,60,275,,1,1,1.38,,,1,
43.25,28.4,-55,,,2,,,,,,-19,
43.698,-111.9423,1472,230,550,,45,,,,,,
43.5792,-113.3428,1619,750,1000,,50,,,,,,
43.5792,-113.3428,1619,550,750,,47,,,,,,
43.6235,-113.0658,1561,1000,3100,,40,10,2.76,,,109,
43.573,-113.0555,1539,20,199,,54,1,1.51,,,81,
43.5563,-112.9462,1503,20,145,,8,,1.51,,,11,
43.5458,-112.953,1506,20,145,,10,,1.51,,,14,
43.5945,-112.8192,1505,20,150,,23,1,1.51,,,35,
43.548,-112.9167,1498,20,141,,9,,1.51,,,13,
27.1333,-111.6333,-1840,,,,158,,0.74,,,117,1
43.5862,-112.6467,1574,20,205,,20,,1.51,,,29,
43.5862,-112.6467,1574,205,237,,0,1,1.38,,,0,
27.2833,-111.3667,-1870,,,,178,,0.69,,,123,1
43.5555,-112.723,1562,40,205,,24,,1.51,,,35,
27.6333,-111.7333,-1775,,,,255,,0.69,,,175,1
43.552,-112.5,1590,20,220,,18,1,1.46,,,25,
26.7667,-111.0667,-1750,,,,169,,0.73,,,123,1
